.01,Abrocoma bennetti,*,Mastodon,,Aves
.02,Abronia smithi,*,Mastodon,,Insectos
.03,Abrothrix jelskii,*,Mastodon,,Arácnidos
.04,Abrothrix longipilis,*,Mastodon,,Mamíferos
.05,Abrothrix olivacea,*,,,Peces
.06,Aburria aburri,*,,,Invertebrados marinos
.07,Acalodegma vidali,*,,,Reptiles
.08,Acanthinodera cummingi,*,,,Anfibios
.09,Accipiter chilensis,*,,,Otros invertebrados
.10,Acerodon jubatus,*,,,
.11,Acinonyx jubatus,*,,,
.12,Acisoma attenboroughi,*,,,
.13,Acraga coa,*,,,Aves
.14,Acrobates pygmaeus,*,,,Insectos
.15,Acrochordus javanicus,*,,,Arácnidos
.16,Acryllium vulturinum,*,,,Mamíferos
.17,Actias luna,*,,,Peces
.18,Actophilornis africanus,*,,,Invertebrados marinos
.19,Adalia angulifera,*,,,Reptiles
.20,Adetomeris erythrops,*,,,Anfibios
.21,Aethopyga siparaja,*,,,Otros invertebrados
.22,Aethopyga vigorsii,*,,,
.23,Agalychnis callidryas,*,,,
.24,Agamia agami,*,,,
.25,Agapornis fischeri,*,,,Aves
.26,Agathemera crassa,*,,,Insectos
.27,Agathidium vaderi,*,,,Arácnidos
.28,Agelasticus thilius,*,,,Mamíferos
.29,Aglaiocercus kingii,*,,,Peces
.30,Aglantha digitale,*,,,Invertebrados marinos
.31,Agra katewinsletae,*,,,Reptiles
.32,Agra liv,*,,,Anfibios
.33,Agra schwarzeneggeri,*,,,Otros invertebrados
.34,Agrias narcissus,*,,,
.35,Agriornis albicauda,*,,,
.36,Agriornis livida,*,,,
.37,Ahaetulla mycterizans,*,,,Aves
.38,Ailuropoda melanoleuca,*,,,Insectos
.39,Ailurus fulgens,,,,Arácnidos
.40,Aipysurus duboisii,,,,Mamíferos
.41,Aix galericulata,,,,Peces
.42,Alcelaphus buselaphus,,,,Invertebrados marinos
.43,Alcides agathyrsus,,,,Reptiles
.44,Alectoris rufa,,,,Anfibios
.45,Aleiodes shakirae,,,,Otros invertebrados
.46,Allendia chilensis,,,,
.47,Allenopithecus nigroviridis,,,,
.48,Alligator sinensis,,,,
.49,Allochrocebus lhoesti,,,,Aves
.50,Allochrocebus preussi,,,,Insectos
.51,Allochrocebus solatus,,,,Arácnidos
.52,Alloscirtetica gayi,,,,Mamíferos
.53,Alopecosa fabrilis,,,,Peces
.54,Alopias vulpinus,,,,Invertebrados marinos
.55,Alouatta caraya,,,,Reptiles
.56,Alouatta pigra,,,,Anfibios
.57,Alouatta seniculus,,,,Otros invertebrados
.58,Alsodes barrioi,,,,
.59,Alsodes cantillanensis,,,,
.60,Alsodes hugoi,,,,
.61,Alsodes igneus,,,,Aves
.62,Alsodes vanzolinii,,,,Insectos
.63,Alytes obstetricans,,,,Arácnidos
.64,Amazilia boucardi,,,,Mamíferos
.65,Amazona aestiva,,,,Peces
.66,Amazona pretrei,,,,Invertebrados marinos
.67,Amblyrhynchus cristatus,,,,Reptiles
.68,Amblysomus hottentotus,,,,Anfibios
.69,Ambystoma mexicanum,,,,Otros invertebrados
.70,Ambystoma opacum,,,,
.71,Amegilla cingulata,,,,
.72,Amerila crokeri,,,,
.73,Amorphochilus schnablii,,,,Aves
.74,Amphioctopus marginatus,,,,Insectos
.75,Anairetes alpinus,,,,Arácnidos
.76,Anairetes fernandezianus,,,,Mamíferos
.77,Anairetes parulus,,,,Peces
